,test case name,nbr logs,nbr char in log,debug,info,error,warn,tbl mini,tbl maxi,tbl avg,tbl first and last,NOC mini,NOC maxi,NOC,NOC avg,nbr negattion
0,Test_46,5456,362.1101539589443,4640,671,96,49,3.3341666666666665,52.46938888888888,6.817513455884079,363.087,1,307,5456,9.27891156462585,569
1,Test_85,5558,357.9659949622166,4704,700,98,56,3.333944444444444,52.2408888888889,6.813372737131697,322.343,1,308,5558,9.111475409836066,603
2,Test_13,5761,361.7545565006075,4917,726,60,58,3.333444444444444,51.642722222222226,6.2929250848356455,365.443,1,331,5761,10.455535390199637,640
3,Test_75,6961,330.0907915529378,5792,773,305,91,3.3335,46.84716666666666,5.162374061228864,303.724,1,342,6961,10.692780337941628,663
4,Test_113,6376,303.16405269761606,5637,600,73,66,6.666888888888889,48.036333333333324,8.37215801234208,294.653,1,492,6376,11.55072463768116,534
5,Test_95,7657,316.029776674938,6624,785,149,99,3.3340555555555556,43.61833333333333,5.111029065326584,305.032,1,492,7657,12.310289389067524,664
6,Test_117,6488,333.0971023427867,5606,712,108,62,3.3333888888888885,49.88422222222222,5.936756519845648,371.191,1,320,6488,11.342657342657343,635
7,Test_124,4916,352.3504882017901,4157,603,101,55,6.666833333333333,50.56344444444444,8.668636515772693,307.491,1,268,4916,8.987202925045704,536
8,Test_114,5502,324.5930570701563,4774,587,81,60,6.6665,44.985055555555554,8.373489653664926,256.095,1,261,5502,9.877917414721724,522
9,Test_103,7671,359.19123973406334,6491,1034,56,90,3.3342222222222224,67.03288888888889,6.5848074707862745,410.604,1,428,7671,10.819464033850494,808
10,Test_68,5582,357.9267287710498,4704,744,64,70,3.3337222222222223,45.602833333333336,5.640676729695638,293.195,1,351,5582,9.674176776429809,675
11,Test_22,9675,359.1198966408269,8155,1241,182,97,3.333833333333333,79.66144444444446,7.644175940016694,670.849,1,524,9675,11.813186813186814,990
12,Test_84,5498,357.9672608221171,4648,696,98,56,3.333833333333333,50.58522222222222,6.00273095703282,339.803,1,308,5498,9.057660626029653,599
13,Test_54,5387,361.1455355485428,4566,679,84,58,3.333388888888889,44.415166666666664,5.712386149818579,308.144,1,308,5387,9.602495543672013,586
14,Test_98,6266,332.4567507181615,5425,704,72,65,3.3332777777777776,42.61277777777777,5.880537312034637,284.673,1,321,6266,10.93542757417103,632
15,Test_125,4682,356.3047842802221,4027,588,13,54,6.667055555555556,46.08727777777778,8.582864837017343,292.182,1,272,4682,9.126705653021443,539
16,Test_35,5994,362.42475809142474,5036,726,161,71,3.3338888888888887,52.454833333333326,6.2446290006378256,428.037,1,326,5994,10.31669535283993,599
17,Test_118,7238,336.77466150870407,6184,836,140,78,3.333444444444444,57.256777777777785,6.306826090381232,404.478,1,383,7238,10.950075642965205,730
18,Test_16,7360,340.96209239130434,6324,845,112,79,3.333944444444444,58.874999999999986,6.404653444452408,427.621,1,394,7360,11.10105580693816,742
19,Test_109,6103,335.6650827461904,5313,719,2,69,3.3337222222222223,46.13583333333333,5.7964122654922,307.663,1,324,6103,10.840142095914743,640
20,Test_19,5612,361.58713471133285,4780,692,80,60,3.3343333333333334,45.405944444444444,6.210364825354721,369.16,1,305,5612,9.322259136212624,586
21,Test_107,4421,353.0610721556209,3734,557,77,53,6.667055555555555,46.12477777777778,8.498523025408184,221.808,1,241,4421,8.357277882797732,497
22,Test_8,10623,345.41438388402526,9083,1273,160,107,3.3341666666666665,79.04722222222223,7.155470270392779,722.327,1,534,10623,12.923357664233576,1017
