,test case name,nbr logs,nbr char in log,debug,info,error,warn,tbl mini,tbl maxi,tbl avg,tbl first and last,NOC mini,NOC maxi,NOC,NOC avg,nbr negattion
0,Test_46,9528,366.1169185558354,8250,1199,0,79,3.3337777777777777,72.05344444444445,6.972440236833142,610.896,1,480,9528,12.278350515463918,897
1,Test_85,9152,368.0687281468532,7904,1169,0,79,3.334222222222222,71.31805555555555,7.036351286033873,613.173,1,478,9152,12.137931034482758,888
2,Test_13,9345,370.0525414660246,8077,1191,0,77,3.3338333333333328,75.63905555555556,7.491518760978711,670.65,1,494,9345,12.410358565737052,899
3,Test_75,8911,364.78464818763325,7691,1145,0,75,3.333222222222222,61.896666666666675,6.491968013941307,491.432,1,463,8911,11.694225721784777,872
4,Test_113,9169,365.49438324790054,7899,1187,0,83,3.3337222222222223,76.33144444444446,7.395644305956943,610.175,1,496,9169,12.017038007863697,905
5,Test_95,9064,362.3417917034422,7816,1170,0,78,3.3335555555555554,63.07205555555556,6.549495118375182,489.356,1,473,9064,12.005298013245033,892
6,Test_117,9092,366.16630004399474,7846,1165,0,81,3.3335,73.06744444444443,7.346941248891928,609.565,1,480,9092,12.106524633821572,896
7,Test_124,9206,366.8746469693678,7956,1170,0,80,3.3335,71.33805555555554,7.0927591435351465,611.676,1,476,9206,12.177248677248677,884
8,Test_114,9551,363.37524866506124,8225,1238,0,88,3.1578947368421053,69.10631578947368,6.950344725943914,613.051,1,480,9551,12.550591327201051,914
9,Test_103,8566,362.7386177912678,7384,1108,0,74,3.333277777777778,63.28133333333332,6.592411444616,487.091,1,459,8566,11.40612516644474,851
10,Test_68,8593,364.75933899685793,7381,1141,0,71,3.3337222222222227,62.15316666666667,6.574241645770444,489.606,1,459,8593,11.442077230359521,868
11,Test_22,8589,364.3449761322622,7430,1090,0,69,3.3332222222222225,65.42394444444444,6.8607869335748335,549.491,1,435,8589,11.513404825737265,808
12,Test_84,9782,369.4196483336741,8473,1230,0,79,3.333444444444444,79.70966666666668,7.4057110915542985,672.194,1,538,9782,12.956291390728477,950
13,Test_54,9228,368.46098829648895,7960,1186,0,82,3.333388888888889,69.43788888888889,7.03914150883905,668.861,1,485,9228,12.190224570673712,890
14,Test_98,9062,365.018980357537,7796,1189,0,77,3.3336111111111113,70.4648888888889,7.227101882116058,547.15,1,503,9062,11.95514511873351,926
15,Test_125,9318,366.4478428847392,8045,1191,0,82,3.3335,73.0701111111111,7.134977992045233,674.457,1,477,9318,12.29287598944591,892
16,Test_35,9686,366.8010530662812,8399,1212,0,75,3.333833333333333,71.93422222222222,7.079337711890568,669.87,1,514,9686,12.744736842105263,929
17,Test_118,9159,366.75848891800416,7920,1166,0,73,3.3331666666666666,70.88766666666668,7.021382842518604,616.003,1,482,9159,12.163346613545817,882
18,Test_16,9214,371.0034729759062,7966,1176,0,72,3.333611111111111,70.35522222222222,7.083248138692598,675.153,1,484,9214,12.318181818181818,885
19,Test_109,8799,368.4139106716672,7562,1159,0,78,3.333333333333334,63.070611111111106,6.61306962573232,549.017,1,485,8799,11.700797872340425,895
20,Test_19,9398,368.6884443498617,8123,1199,0,76,3.3334444444444444,71.15861111111111,7.1234890285937,674.7,1,520,9398,12.365789473684211,926
21,Test_107,8763,364.36654113887937,7519,1162,0,82,3.3332777777777776,65.51938888888888,6.71702823176285,553.222,1,455,8763,11.730923694779117,885
22,Test_8,8930,367.28768197088465,7742,1122,0,66,3.3334999999999995,72.67716666666666,7.150370389481042,668.3,1,463,8930,11.906666666666666,835
23,Test_104,8688,365.14652394106815,7466,1146,0,76,3.3345555555555557,61.836166666666664,6.594482675416489,485.863,1,466,8688,11.614973262032086,878
24,Test_89,8386,360.43882661578823,7243,1072,0,71,3.333611111111111,61.56305555555556,6.489068880330573,430.881,1,423,8386,11.136786188579018,800
25,Test_31,9374,366.53456368679326,8107,1185,0,82,3.3331666666666666,69.67616666666669,7.136883185634561,666.046,1,503,9374,12.350461133069828,921
26,Test_39,9129,364.94566765253586,7887,1165,0,77,3.3338888888888887,70.87055555555554,6.994116764717991,611.843,1,466,9129,12.04353562005277,874
27,Test_3,9386,367.5207756232687,8104,1196,0,86,3.3338333333333328,72.92777777777778,7.125638101082834,671.871,1,477,9386,12.448275862068966,898
