,test case name,nbr logs,nbr char in log,debug,info,error,warn,tbl mini,tbl maxi,tbl avg,tbl first and last,NOC mini,NOC maxi,NOC,NOC avg,nbr negattion
0,Test_46,5474,359.2519181585678,4591,649,162,72,3.53,53.77305882352941,6.623968480664364,364.061,1,324,5474,9.916666666666666,614
1,Test_85,1052,360.52471482889734,874,148,16,14,8.002266666666667,32.59693333333333,12.20082640136309,36.164,1,102,1052,7.850746268656716,206
2,Test_13,1916,265.8653444676409,1663,164,70,19,8.002066666666668,37.05546666666667,12.00981065020507,63.771,1,246,1916,11.13953488372093,218
3,Test_75,3695,216.06278755074425,2688,202,775,30,8.0004,42.11673333333333,10.811463296870874,121.825,1,492,3695,12.874564459930314,247
4,Test_113,2705,234.67837338262476,2451,152,72,30,8.0032,38.3646,12.343215555685704,79.874,1,492,2705,16.005917159763314,205
5,Test_95,5929,338.8124472929668,5216,606,43,64,3.529764705882353,48.19329411764706,6.061368021543439,350.774,1,290,5929,10.152397260273972,558
6,Test_117,10325,342.7777239709443,8925,1212,82,106,3.3339444444444446,77.78422222222221,7.000737400653239,686.957,1,504,10325,12.9874213836478,946
7,Test_124,13340,311.07856071964017,9739,1144,2363,94,3.530058823529412,48.575529411764705,6.394964716523389,460.868,1,2047,13340,22.27045075125209,701
8,Test_114,1131,343.7709991158267,905,146,68,12,12.001399999999999,43.21893333333333,16.431725229857147,62.418,1,92,1131,7.964788732394366,199
9,Test_103,1971,270.2404870624049,1711,157,82,21,8.002866666666668,36.756466666666675,12.518541663389266,76.188,1,246,1971,10.654054054054054,204
10,Test_68,5025,363.81333333333333,4195,626,137,67,3.529705882352941,56.16235294117647,7.639467375358896,453.999,1,325,5025,10.172064777327936,636
11,Test_22,1788,338.76565995525726,1376,229,166,17,8.0012,40.38333333333333,13.066997656788494,176.894,1,130,1788,8.394366197183098,288
12,Test_84,5971,338.34634064645786,5231,631,43,66,3.533235294117647,47.002882352941185,5.968403362718941,294.372,1,326,5971,10.172061328790459,612
13,Test_54,8607,302.6393633089346,5894,760,1900,53,3.5295882352941175,53.908235294117645,6.535613589994351,423.137,1,331,8607,13.79326923076923,689
14,Test_98,6645,316.60060195635816,5925,603,43,74,3.530235294117647,49.517529411764706,6.995001446501876,343.672,1,492,6645,11.320272572402045,565
15,Test_35,2176,285.484375,1944,195,16,21,12.0008,44.370466666666665,15.518617757028483,169.219,1,246,2176,12.156424581005586,247
16,Test_118,2043,277.32892804698974,1780,171,70,22,8.0048,38.28673333333334,12.840205818296598,125.71,1,246,2043,11.41340782122905,216
17,Test_16,1938,265.5660474716202,1684,152,82,20,8.001266666666668,39.02006666666667,12.21681208129402,101.434,1,246,1938,11.137931034482758,198
18,Test_109,2537,283.25699645250296,2142,230,142,23,8.000666666666666,42.493399999999994,12.977448950983279,213.851,1,246,2537,11.637614678899082,283
19,Test_19,1177,341.3194562446899,940,146,78,13,8.002,41.31413333333333,12.414811362482146,62.807,1,87,1177,7.544871794871795,193
20,Test_107,2000,273.1465,1742,166,70,22,8.003266666666667,38.64106666666667,12.760378782753772,120.143,1,246,2000,11.235955056179776,214
21,Test_8,5222,369.7834163155879,4449,621,91,61,3.5295294117647056,52.80088235294118,6.790541076167322,431.021,1,324,5222,9.52919708029197,598
22,Test_104,1138,349.2047451669596,906,151,68,13,8.001466666666667,43.43913333333333,12.567768358836728,93.842,1,92,1138,7.902777777777778,194
23,Test_89,858,181.37179487179486,839,11,0,8,0.004833333333333333,2.2826666666666666,0.609172388147699,0.299,1,246,858,16.5,22
24,Test_31,2951,245.25415113520842,2650,189,84,28,8.001333333333333,41.11180000000001,12.461138983390581,116.067,1,492,2951,15.290155440414507,234
25,Test_39,5755,340.6879235447437,5070,628,0,57,3.5295294117647056,53.233,7.008991006271265,426.613,1,306,5755,11.003824091778203,589
26,Test_3,2152,277.11059479553904,1861,187,82,22,8.000533333333333,36.962133333333334,12.32197593646615,110.517,1,246,2152,11.695652173913043,245
