,test case name,nbr logs,nbr char in log,debug,info,error,warn,tbl mini,tbl maxi,tbl avg,tbl first and last,NOC mini,NOC maxi,NOC,NOC avg,nbr negattion
0,Test_46,9790,372.8596527068437,8471,1136,30,153,3.5295882352941175,96.08505882352941,9.666342749978497,905.685,1,504,9790,13.319727891156463,906
1,Test_85,5014,367.07140007977665,4325,595,43,51,3.5298823529411765,46.23170588235294,6.156942887596233,307.891,1,300,5014,8.87433628318584,557
2,Test_13,8813,357.21513672983093,7547,1168,0,98,3.334388888888889,63.20166666666666,6.683914062096828,468.788,1,481,8813,11.688328912466844,928
3,Test_75,5202,366.5876585928489,4502,604,43,53,3.5298823529411765,47.888823529411766,6.104235311906802,301.568,1,280,5202,9.0,540
4,Test_113,9718,361.1866639226178,8399,1219,0,100,3.333444444444444,74.47033333333334,7.29503641551758,736.958,1,511,9718,12.786842105263158,966
5,Test_95,8965,361.32838817624094,7748,1134,0,83,3.334166666666667,66.26088888888889,6.740957947948264,492.443,1,463,8965,11.889920424403183,873
6,Test_117,9121,363.38219493476595,7905,1143,0,73,3.334666666666667,73.9053888888889,7.1695742678639585,668.339,1,467,9121,12.226541554959786,849
7,Test_124,9894,362.82949262179096,8604,1204,0,86,3.3346666666666667,72.76894444444446,7.131083327224726,672.84,1,493,9894,12.866059817945384,902
8,Test_114,9554,361.8122252459703,8246,1211,0,97,3.3335555555555554,75.88538888888888,7.326302452301036,735.075,1,501,9554,12.704787234042554,946
9,Test_103,9532,361.3208140998741,8231,1207,0,94,3.3345555555555553,75.9151111111111,7.309195443174207,732.465,1,494,9532,12.72630173564753,931
10,Test_68,9902,361.4294082003636,8568,1244,0,90,3.158052631578947,70.22347368421052,6.80810721793166,670.022,1,482,9902,12.79328165374677,900
11,Test_22,9842,360.56868522658,8518,1225,0,99,3.3334444444444444,75.24255555555554,7.292981480116538,732.463,1,500,9842,12.932982917214192,944
12,Test_84,8819,358.12949313981176,7620,1117,0,82,3.3386666666666667,65.49088888888889,6.97330314668076,426.334,1,449,8819,11.634564643799472,859
13,Test_54,14296,321.1082820369334,11046,1417,1741,92,3.333611111111111,72.29738888888889,7.005889972068079,673.505,1,629,14296,16.28246013667426,1028
14,Test_98,8795,362.49073337123366,7585,1127,0,83,3.3336111111111113,67.44361111111111,6.758606595900624,552.252,1,456,8795,11.758021390374331,859
15,Test_35,9759,361.7618608463982,8417,1238,0,104,3.3335,77.30611111111111,7.33424334495446,734.979,1,527,9759,12.908730158730158,983
16,Test_118,9424,361.0041383701188,8144,1180,0,100,3.3334999999999995,74.51738888888889,7.3295585224948985,671.238,1,487,9424,12.615796519410978,923
17,Test_16,9651,360.8693399647705,8280,1269,0,102,3.1582105263157896,72.52742105263158,6.893007253098823,730.072,1,518,9651,12.732189973614776,975
18,Test_109,9776,360.5911415711948,8465,1216,0,95,3.333444444444444,76.4591111111111,7.2755143173330525,672.733,1,498,9776,12.931216931216932,936
19,Test_19,9632,361.1371470099668,8303,1226,0,103,3.3337777777777777,76.53716666666666,7.363092925703112,731.304,1,507,9632,12.825565912117177,966
20,Test_107,9607,361.57291558238785,8306,1203,0,98,3.333388888888889,79.85916666666667,7.439399526957154,674.706,1,518,9607,12.674142480211081,953
21,Test_8,9766,363.6629121441737,8490,1191,0,85,3.333277777777778,72.52,7.174642875443835,673.73,1,498,9766,12.83311432325887,904
22,Test_104,9752,361.0593724364233,8426,1225,0,101,3.3334444444444444,75.81455555555557,7.3264347981356615,735.127,1,514,9752,12.882430647291942,967
23,Test_89,8921,356.51317116915146,7618,1198,0,105,3.336777777777778,65.58011111111111,6.631341182424027,544.437,1,508,8921,11.847277556440902,982
24,Test_31,10188,361.8111503729878,8810,1276,0,102,3.333611111111111,79.506,7.389826656266335,790.624,1,529,10188,13.422924901185771,987
25,Test_39,9894,362.62340812613706,8562,1208,30,94,3.333444444444445,73.97733333333333,7.174476116377755,673.892,1,498,9894,12.555837563451776,920
26,Test_3,9650,360.32373056994817,8347,1203,0,100,3.3334999999999995,75.48722222222221,7.279494350151389,673.765,1,500,9650,12.597911227154047,949
27,Test_36,10011,361.0297672560184,8669,1239,0,103,3.333444444444444,78.48577777777777,7.387191808432113,728.499,1,503,10011,13.189723320158103,955
