,test case name,nbr logs,nbr char in log,debug,info,error,warn,tbl mini,tbl maxi,tbl avg,tbl first and last,NOC mini,NOC maxi,NOC,NOC avg,nbr negattion
0,Test_46,2740,345.10182481751826,2331,308,78,23,8.001000000000001,54.89246666666667,11.069813823910982,181.424,1,150,2740,7.988338192419825,338
1,Test_85,5367,329.74436370411775,4739,552,32,44,3.5322352941176467,52.36582352941177,6.581208599938202,360.456,1,293,5367,11.926666666666666,565
2,Test_13,2566,345.80982073265784,2226,282,38,20,7.999733333333335,54.693999999999996,11.1136875212734,125.021,1,135,2566,7.944272445820434,310
3,Test_75,10505,341.9293669681104,9060,1258,84,103,3.3332777777777776,73.02766666666666,6.9065238926928,585.488,1,512,10505,13.416347381864624,1008
4,Test_152,6048,330.3249007936508,5261,681,38,68,3.3335555555555554,47.16922222222222,5.8568162914942326,297.744,1,298,6048,10.11371237458194,591
5,Test_113,4289,277.69573327115876,3916,304,32,37,8.000133333333334,56.83826666666666,10.917850138371888,234.667,1,492,4289,12.614705882352942,335
6,Test_185,6647,309.8751316383331,5271,637,664,75,3.337833333333333,48.91866666666667,6.070099164994996,366.513,1,272,6647,10.968646864686468,550
7,Test_95,5610,334.81532976827094,4913,599,36,62,3.5321764705882353,44.88964705882353,6.221962815970818,289.744,1,273,5610,10.706106870229007,545
8,Test_117,3374,304.2445168938945,3033,286,32,23,8.0,56.67426666666667,11.159813975220974,185.775,1,246,3374,10.25531914893617,318
9,Test_124,3456,304.98582175925924,3100,298,28,30,8.0,57.6476,10.821169003009468,161.103,1,246,3456,10.347305389221557,334
10,Test_114,10074,364.2718880285884,8626,1276,67,105,3.3335555555555554,87.29383333333334,7.877434060037853,842.439,1,571,10074,12.882352941176471,1050
11,Test_136,2636,349.61911987860395,2292,289,32,23,8.000933333333334,56.00226666666667,11.180507233689484,169.535,1,138,2636,8.2375,314
12,Test_103,6159,339.01948368241597,5442,650,10,57,3.5298235294117646,51.77717647058824,6.349801711627961,342.399,1,293,6159,10.438983050847458,569
13,Test_68,4679,362.46078221842276,4067,553,16,43,3.529588235294117,51.561352941176466,6.805899466445401,400.417,1,282,4679,10.78110599078341,551
14,Test_22,6255,312.9083932853717,5616,578,0,61,3.5292941176470585,48.46888235294118,6.521206614639758,403.319,1,492,6255,13.80794701986755,574
15,Test_169,2610,351.2911877394636,2293,280,16,21,8.000866666666667,51.43353333333333,10.965818702172818,179.091,1,123,2610,8.03076923076923,291
16,Test_184,5338,344.9344323716748,4280,594,407,57,3.529411764705882,52.63799999999999,6.74426253120519,363.614,1,284,5338,8.956375838926174,562
17,Test_230,9837,342.22649181661075,8506,1226,0,105,3.3335,77.32205555555555,7.156106386460678,641.443,1,523,9837,13.953191489361702,1002
18,Test_174,3447,307.42181607194664,3111,283,24,29,8.001466666666666,58.55653333333333,10.835963053936952,170.863,1,246,3447,9.73728813559322,294
19,Test_137,9504,356.08733164983164,8009,1235,156,104,3.334777777777778,78.39655555555557,7.375609352902071,658.671,1,515,9504,11.93969849246231,992
20,Test_84,2714,350.864406779661,2352,300,42,20,8.000666666666667,56.2574,11.170404477508779,203.653,1,144,2714,8.224242424242425,320
21,Test_54,9844,364.2838277123121,8493,1251,0,100,3.3337222222222223,93.73222222222222,8.002510429256649,723.67,1,514,9844,13.02116402116402,964
22,Test_158,2514,347.4805091487669,2184,280,28,22,8.001533333333333,53.85966666666666,11.274758755241999,125.745,1,135,2514,7.90566037735849,312
23,Test_202,4641,325.3850463262228,3514,471,603,53,3.530470588235294,41.195235294117644,6.242967116532103,1.89,1,244,4641,10.089130434782609,498
24,Test_205,3366,303.32768865121807,3007,294,38,27,8.001666666666667,57.07386666666666,12.562691132602929,180.728,1,246,3366,9.428571428571429,289
25,Test_98,3462,305.4575389948007,3094,297,44,27,8.000133333333334,51.494400000000006,10.590737807403716,170.013,1,246,3462,9.537190082644628,297
26,Test_179,5225,316.2160765550239,4406,527,240,52,7.0600000000000005,50.80605882352942,10.136678059508217,228.178,1,246,5225,10.513078470824949,467
27,Test_125,2478,345.9927360774818,2146,278,32,22,8.001333333333333,54.285799999999995,11.080158919386323,123.259,1,133,2478,7.841772151898734,309
28,Test_129,5054,362.6764938662446,4345,611,44,54,3.529764705882353,48.11035294117647,6.7356245293956825,365.947,1,288,5054,9.700575815738963,566
29,Test_35,2493,349.4560770156438,2179,274,22,18,8.003666666666668,52.48113333333333,11.065067948427687,95.961,1,116,2493,7.718266253869969,281
30,Test_160,5060,327.9403162055336,4483,521,8,48,3.529411764705882,49.54658823529411,6.94463171829635,327.638,1,257,5060,11.933962264150944,514
31,Test_118,2500,349.0744,2170,280,32,18,8.0104,53.261866666666656,10.998388361572596,174.153,1,131,2500,8.19672131147541,307
32,Test_148,4833,366.815849368922,4218,554,10,51,3.529882352941176,52.849294117647055,6.9730758702895,410.213,1,278,4833,11.110344827586207,541
33,Test_167,2639,354.42667677150433,2312,280,30,17,8.0018,53.613733333333336,11.188462261877449,186.929,1,144,2639,8.324921135646688,300
34,Test_197,4967,365.36078115562714,4272,618,32,45,3.5330588235294123,48.23211764705883,6.418145778261477,305.184,1,297,4967,10.034343434343434,572
35,Test_16,10111,344.16902383542674,8684,1187,139,101,3.3335,82.97516666666667,7.42591595787166,728.637,1,522,10111,13.063307493540051,981
36,Test_162,5230,331.3665391969407,4626,546,12,46,3.5298235294117646,53.633352941176476,6.40139432822141,368.098,1,277,5230,11.752808988764045,546
37,Test_228,10237,339.01230829344536,8779,1255,96,107,3.3333333333333335,76.59144444444445,6.963698397905545,607.385,1,519,10237,13.469736842105263,1010
38,Test_109,2720,352.05404411764704,2365,300,32,23,8.000266666666667,58.178533333333334,11.046764315604042,210.676,1,144,2720,8.526645768025078,325
39,Test_171,2588,348.71406491499226,2260,278,28,22,8.001000000000001,54.61339999999999,10.902144346006363,162.928,1,124,2588,8.012383900928793,287
40,Test_153,10409,346.3953309635892,8992,1238,63,116,3.3333333333333335,83.86577777777778,7.670556826550331,794.972,1,539,10409,13.126103404791928,1012
41,Test_19,3499,306.7127750785939,3142,308,22,27,8.002333333333333,54.20980000000001,10.720818344805787,161.684,1,246,3499,10.291176470588235,343
42,Test_107,6935,271.7672674837779,5930,530,411,64,7.058470588235294,50.854588235294116,8.877286171095143,259.905,1,738,6935,13.060263653483993,491
43,Test_223,10613,349.50994063883917,9212,1244,49,108,3.333166666666666,84.39216666666665,7.813535226727857,827.959,1,546,10613,13.400252525252526,1008
44,Test_149,2538,347.6150512214342,2209,269,40,20,8.000866666666667,51.77739999999999,10.987050820853181,165.517,1,115,2538,7.714285714285714,276
45,Test_8,11244,330.7203842049093,9781,1258,90,115,3.333722222222222,87.66472222222222,7.331909689747229,732.963,1,542,11244,14.433889602053915,1016
46,Test_212,11073,329.160028899124,9610,1268,84,111,3.15821052631579,77.928,7.037325155024995,589.517,1,509,11073,14.14176245210728,981
47,Test_164,4362,361.23383768913345,3786,523,12,41,3.530294117647059,49.33723529411765,6.601566925434362,306.573,1,263,4362,10.23943661971831,521
48,Test_231,11565,315.1632511889321,10112,1238,96,119,3.333222222222222,77.07583333333332,6.903214141538528,657.494,1,738,11565,15.237154150197629,1011
49,Test_198,4925,364.97969543147207,4231,616,32,46,3.5311176470588235,49.2144705882353,6.468143241297747,304.441,1,287,4925,9.869739478957916,564
50,Test_190,5536,337.2335621387283,4934,550,0,52,3.530588235294118,54.14911764705882,6.7045564239645286,409.942,1,279,5536,12.41255605381166,537
51,Test_199,4473,365.8345629331545,3880,544,12,37,3.529235294117647,44.94747058823529,6.424220015874884,294.777,1,262,4473,10.119909502262443,506
52,Test_104,6788,315.03727165586326,6083,631,8,66,3.5296470588235294,59.00629411764706,6.266920888090634,306.04,1,492,6788,11.54421768707483,583
53,Test_89,2600,348.8742307692308,2261,283,38,18,8.001466666666667,52.46119999999999,11.084684905606258,173.843,1,132,2600,7.90273556231003,299
54,Test_143,10471,347.7118708814822,9050,1240,71,110,3.333166666666666,80.13416666666666,7.429966591243763,788.909,1,546,10471,12.991315136476427,1018
55,Test_31,4460,294.419730941704,3571,365,493,31,7.5003125,48.079,9.390084317763753,232.808,1,246,4460,10.205949656750573,394
56,Test_208,10342,348.00338425836395,8937,1231,63,111,3.3337777777777777,88.06383333333333,7.3290129793354755,761.292,1,509,10342,13.157760814249365,972
57,Test_39,4565,366.2219058050383,3952,561,6,46,3.530470588235294,45.55247058823529,6.524521679909856,294.4,1,273,4565,10.23542600896861,534
58,Test_3,9976,364.8906375300722,8623,1249,0,104,3.3337222222222223,81.87299999999999,7.686460546778581,830.442,1,539,9976,13.14361001317523,1009
59,Test_36,5540,337.3028880866426,4885,587,10,58,3.5296470588235294,47.22888235294118,6.426974441145184,355.761,1,289,5540,11.862955032119915,561
60,Test_133,3328,303.13912259615387,2990,287,24,27,7.999666666666667,54.30493333333334,10.907383907906889,169.059,1,246,3328,10.054380664652568,318
61,Test_105,4586,365.6367204535543,3979,563,0,44,3.530294117647059,48.21070588235295,6.592993967073187,308.389,1,281,4586,10.566820276497696,547
62,Test_155,3483,305.1576227390181,3124,283,46,30,7.999866666666667,57.0308,10.790060028928554,198.247,1,246,3483,9.78370786516854,303
63,Test_200,4579,365.0895392006988,3942,563,26,48,3.5310588235294116,46.209529411764706,6.518531592517787,300.338,1,276,4579,10.130530973451327,539
64,Test_217,3465,304.8363636363636,3106,294,38,27,8.0002,53.904866666666656,10.706396777418453,150.489,1,246,3465,9.928366762177651,318
65,Test_82,3469,306.97174978379934,3128,288,22,31,7.999933333333333,55.333733333333335,10.845758023674092,232.559,1,246,3469,10.14327485380117,303
66,Test_62,10146,361.17179183914845,8722,1302,16,106,3.3332222222222216,93.29966666666667,7.952686377265321,791.172,1,536,10146,13.402906208718626,1001
67,Test_63,4901,313.2832075086717,4110,452,292,47,7.5003125,55.384437500000004,9.492759213466828,300.812,1,246,4901,9.782435129740518,461
68,Test_122,12031,321.23672180201146,9438,1248,1200,145,3.333611111111111,96.02777777777777,7.9352873182581725,783.002,1,499,12031,15.057571964956196,954
69,Test_161,3266,301.3435394978567,2932,266,40,28,8.001066666666667,56.04546666666666,10.700166107454653,112.254,1,246,3266,9.385057471264368,285
70,Test_101,4600,365.4363043478261,3985,564,8,43,3.5356470588235296,50.01370588235294,6.491708692172032,305.286,1,277,4600,10.430839002267573,532
71,Test_201,4767,365.3717222571848,4134,576,10,47,3.529823529411765,48.589882352941174,6.144427502913344,243.636,1,255,4767,8.543010752688172,509
72,Test_156,4557,362.22558700899714,3962,550,0,45,3.7515,55.904187500000006,7.821286808623608,366.843,1,288,4557,11.654731457800512,556
73,Test_178,5402,332.7989633469086,4792,540,18,52,3.5301176470588236,55.53276470588236,7.40761607406673,350.38,1,276,5402,11.92494481236203,535
74,Test_157,3512,307.748291571754,3171,292,18,31,8.0006,58.10866666666667,10.884669926307414,184.569,1,246,3512,10.034285714285714,312
75,Test_163,2580,348.88217054263566,2246,275,38,21,8.0024,50.08379999999999,10.908240217028268,186.512,1,120,2580,7.8419452887537995,286
76,Test_181,6042,308.1573982125124,5401,558,30,53,3.531470588235294,46.29117647058824,6.204240043160217,290.648,1,492,6042,12.828025477707007,533
77,Test_92,4494,367.6898086337339,3895,556,0,43,3.530117647058823,47.341117647058816,6.488336150799147,346.128,1,261,4494,10.5,519
78,Test_177,2656,351.1543674698795,2323,293,22,18,8.000666666666667,55.86440000000001,11.213395399404671,185.974,1,140,2656,8.122324159021407,312
79,Test_70,5355,330.9253034547152,4737,544,24,50,3.529411764705882,52.32111764705883,7.107519981217617,415.4,1,277,5355,12.115384615384615,539
80,Test_91,5862,338.2611736608666,5152,613,35,62,3.5298235294117646,47.86964705882353,6.231940899209618,295.141,1,280,5862,10.248251748251748,550
81,Test_32,4267,353.69510194516056,3638,521,68,40,7.0588235294117645,45.752235294117646,8.977733033773394,244.376,1,208,4267,8.585513078470825,435
82,Test_216,10885,348.7367018833257,9449,1271,53,112,3.3332777777777776,82.44666666666666,7.496274725952797,846.883,1,548,10885,13.555417185554171,1015
83,Test_93,4419,367.2403258655805,3825,556,0,38,3.5315294117647054,47.303294117647056,6.449734814485202,286.328,1,262,4419,10.020408163265307,509
84,Test_224,21709,242.04012160854944,20100,1298,0,311,3.333833333333333,77.67522222222222,7.2474202112459505,726.27,1,2214,21709,29.13959731543624,1082
85,Test_159,6635,337.29721175584024,5762,782,18,73,3.3336111111111113,56.79472222222222,6.223383456831009,335.407,1,339,6635,10.270897832817337,649
86,Test_126,2587,348.53807499033627,2251,289,28,19,8.0002,53.84166666666667,11.004101434443347,180.958,1,134,2587,8.212698412698412,309
87,Test_55,9767,341.28872734718954,8357,1223,84,103,3.3340555555555556,71.00788888888889,6.776786034354838,534.536,1,500,9767,13.074966532797857,972
88,Test_189,4770,366.1616352201258,4177,547,0,46,3.5300588235294117,52.925000000000004,6.9904414724197945,363.356,1,283,4770,11.303317535545023,545
89,Test_218,2565,352.8803118908382,2276,271,0,18,8.000533333333333,51.4322,11.088599896927175,188.904,1,121,2565,8.168789808917197,278
90,Test_17,2534,348.465272296764,2197,282,38,17,8.005933333333333,50.4832,10.822855917135106,165.375,1,112,2534,7.541666666666667,271
91,Test_115,5724,335.4058350803634,5027,601,38,58,3.529882352941176,51.2524705882353,6.334485828116492,351.541,1,295,5724,11.37972166998012,580
92,Test_65,2734,349.5043891733724,2376,297,38,23,8.000533333333333,57.56433333333333,11.212210916760993,204.623,1,136,2734,8.386503067484663,315
93,Test_127,3504,304.1287100456621,3132,303,38,31,8.001733333333334,55.38973333333333,10.694126883659383,171.826,1,246,3504,9.842696629213483,334
94,Test_26,4521,361.8845388188454,3934,538,8,41,3.5308235294117645,48.820058823529415,7.292214887324586,356.396,1,277,4521,11.27431421446384,540
95,Test_134,8459,369.34342120818064,7346,1012,0,101,3.529764705882353,91.10764705882353,8.285251175730377,780.352,1,482,8459,12.550445103857566,915
96,Test_172,4704,363.0189200680272,4084,550,24,46,3.5297647058823536,52.30323529411765,6.820030714501717,408.347,1,281,4704,10.93953488372093,540
97,Test_78,9580,360.96670146137785,8208,1211,63,98,3.3338888888888887,78.98250000000002,7.390497709624165,652.326,1,501,9580,12.441558441558442,964
98,Test_219,2629,348.4937238493724,2287,292,30,20,8.000866666666669,53.07313333333333,11.046678901315135,173.494,1,135,2629,8.215625,315
99,Test_83,2606,345.4458940905603,2263,285,38,20,8.000866666666667,49.88066666666667,11.319294067989274,111.692,1,137,2606,7.993865030674846,314
100,Test_226,2707,346.33838197266346,2340,301,42,24,8.001066666666667,54.62566666666667,11.076386047950336,184.457,1,150,2707,8.380804953560371,337
101,Test_53,11012,347.39220849981837,9521,1345,40,106,3.3333333333333335,85.36816666666668,7.6054742290438675,772.673,1,533,11012,14.099871959026888,999
102,Test_50,5443,334.9331251148264,4852,542,0,49,3.5295882352941175,48.03941176470588,6.574740968605021,426.813,1,280,5443,12.398633257403189,540
103,Test_215,5344,357.3018338323353,4568,693,26,57,3.3337777777777777,51.33166666666666,6.130655920638376,308.623,1,310,5344,9.310104529616725,607
104,Test_175,3468,307.7401960784314,3152,286,0,30,8.000333333333334,54.29013333333333,10.87511144039413,171.094,1,246,3468,10.50909090909091,302
105,Test_29,3400,303.6205882352941,3029,298,44,29,8.000466666666666,50.950933333333325,10.646554306777196,182.767,1,246,3400,9.523809523809524,301
106,Test_1,5656,334.59794908062236,4965,598,32,61,3.53,47.957588235294125,6.452131905929072,364.795,1,292,5656,11.28942115768463,584
107,Test_220,2164,214.590573012939,2057,85,0,22,0.0013846153846153847,19.661153846153844,2.65842940941454,38.21,1,492,2164,18.655172413793103,113
108,Test_121,12161,322.35202697146616,9540,1273,1200,148,3.333611111111111,93.14927777777777,7.690145781929958,865.204,1,530,12161,15.20125,991
109,Test_192,5644,297.9737774627923,4426,501,670,47,7.058529411764706,52.63088235294118,8.983948512886279,307.13,1,246,5644,9.97173144876325,491
110,Test_196,4669,366.51317198543586,4024,575,22,48,3.532,49.39111764705882,6.427544602634466,280.973,1,294,4669,10.261538461538462,560
111,Test_99,4456,364.8166517055655,3852,551,10,43,3.531294117647059,51.06223529411765,7.187682818928088,293.261,1,259,4456,10.036036036036036,516
112,Test_193,3308,303.7699516324063,2975,289,16,28,7.999533333333333,51.54180000000001,10.905882894555289,89.418,1,246,3308,9.67251461988304,324
113,Test_88,4515,361.3333333333333,3911,551,12,41,3.5296470588235294,52.33082352941176,6.860045135794162,350.99,1,281,4515,10.623529411764705,555
114,Test_186,5412,326.1568736141907,4662,502,198,50,3.529411764705882,49.06911764705882,6.717510816812801,349.934,1,246,5412,11.44186046511628,497
115,Test_211,9346,363.8782366787931,7981,1210,59,96,3.3397777777777775,79.46866666666666,7.471072417226259,717.641,1,506,9346,12.494652406417112,957
116,Test_14,2757,346.76786361987666,2396,297,42,22,8.003200000000001,53.48793333333333,11.019636113782928,183.377,1,146,2757,8.229850746268657,327
117,Test_24,4545,361.51485148514854,3944,547,12,42,3.529529411764706,48.51305882352941,6.8194943242202655,349.341,1,283,4545,10.71933962264151,555
118,Test_45,10774,350.5493781325413,9446,1215,0,113,3.3332777777777776,87.89305555555558,7.82928262408618,870.971,1,536,10774,14.065274151436032,1003
119,Test_145,3381,302.7586512866016,3026,297,28,30,8.000266666666667,53.49546666666667,10.665216953526825,174.579,1,246,3381,10.0625,332
120,Test_9,3318,301.8152501506932,2969,278,44,27,7.999333333333334,49.48266666666667,10.623695040882602,105.638,1,246,3318,9.242339832869082,284
121,Test_150,2512,346.87738853503186,2186,266,38,22,8.003266666666667,55.40719999999999,10.828583608297366,108.092,1,118,2512,7.658536585365853,283
122,Test_176,4968,365.5157004830918,4297,583,38,50,3.5292941176470585,55.0880588235294,7.433745640036842,367.395,1,281,4968,10.159509202453988,545
123,Test_130,10119,362.6008498863524,8698,1262,53,106,3.3334444444444444,85.65650000000001,8.009120469222552,849.217,1,548,10119,12.973076923076922,1029
124,Test_170,5144,364.4418740279938,4422,616,46,60,3.5297058823529412,52.40888235294118,6.731505508622536,367.312,1,304,5144,10.007782101167315,600
125,Test_131,2802,348.56816559600287,2430,306,42,24,8.000866666666665,54.5886,11.1172746993305,181.72,1,153,2802,8.621538461538462,340
126,Test_57,2673,351.6531986531987,2355,284,10,24,8.000733333333333,54.40613333333334,11.115034176673015,184.569,1,132,2673,8.353125,304
127,Test_120,5254,329.95850780357824,4632,542,36,44,3.5292941176470585,50.24294117647059,6.549229916580465,343.342,1,275,5254,11.572687224669604,540
128,Test_154,10452,341.65968235744356,9008,1251,90,103,3.3333333333333335,78.91533333333332,7.0511856074322266,706.654,1,519,10452,13.247148288973383,989
129,Test_6,2440,348.5266393442623,2116,276,28,20,8.0014,50.4668,11.340579521835089,105.918,1,118,2440,7.393939393939394,287
