,test case name,nbr logs,nbr char in log,debug,info,error,warn,tbl mini,tbl maxi,tbl avg,tbl first and last,NOC mini,NOC maxi,NOC,NOC avg,nbr negattion
0,Test_46,10082,363.1666336044436,8653,1327,0,102,3.333555555555556,77.44183333333335,7.397883327398585,632.731,1,526,10082,13.009032258064517,974
1,Test_85,9913,366.51266014324625,8609,1215,0,89,3.3343333333333334,78.27572222222221,7.771360008569562,911.426,1,493,9913,13.06060606060606,914
2,Test_13,6057,375.573386164768,5346,644,16,51,3.5293529411764704,57.56788235294118,7.608710000196184,668.863,1,351,6057,11.012727272727274,565
3,Test_75,8752,363.83352376599635,7546,1136,0,70,3.333833333333333,64.70555555555556,6.841537665193979,549.94,1,465,8752,11.653794940079894,847
4,Test_152,8971,366.2166982499164,7750,1146,0,75,3.3337777777777777,68.66983333333333,7.1705923298946,608.584,1,451,8971,11.929521276595745,843
5,Test_113,9408,361.2352253401361,8103,1206,0,99,3.3335555555555554,70.98483333333334,7.243682001800028,609.49,1,513,9408,12.544,953
6,Test_185,10123,368.0274622147585,8793,1242,0,88,3.3349444444444445,72.90372222222223,7.65286435381848,852.335,1,507,10123,13.267365661861074,929
7,Test_95,8859,363.8516762614291,7614,1164,0,81,3.3343333333333334,64.74455555555556,6.88015679579156,546.757,1,472,8859,11.859437751004016,887
8,Test_117,9099,359.41872733267394,7825,1177,0,97,3.3341111111111115,70.2743888888889,7.125510776430577,551.14,1,485,9099,12.08366533864542,918
9,Test_124,9401,359.10371237102436,8114,1194,0,93,3.3333888888888885,71.79216666666667,7.073112209687729,606.877,1,486,9401,12.209090909090909,916
10,Test_114,8738,362.27615014877546,7558,1105,0,75,3.334,67.63461111111113,7.071194859488121,607.102,1,434,8738,11.666221628838452,801
11,Test_136,9662,359.8459946180915,8329,1239,0,94,3.333388888888889,69.15527777777777,7.133000647801375,664.488,1,513,9662,12.865512649800266,960
12,Test_103,8948,362.2856504246759,7697,1164,0,87,3.3331111111111107,67.08916666666667,6.868252386722304,549.454,1,468,8948,11.820343461030383,883
13,Test_68,9963,365.1559771153267,8667,1205,0,91,3.333388888888889,73.45744444444443,7.730391943677382,855.732,1,494,9963,13.091984231274639,900
